title,year,venue,doi,url,source,query,score
External force estimation using joint torque sensors and its application to impedance control of a robot manipulator,2013,"2013 13th International Conference on Control, Automation and Systems (ICCAS 2013)",10.1109/iccas.2013.6704230,https://doi.org/10.1109/iccas.2013.6704230,crossref,force torque tactile residual estimation robot,0.667
1P1-X10 Identification of Contact Conditions by Active Force Sensing : Sensing Strategy for Transition Detection(Tactile and Force Sensing (1)),2014,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2014._1p1-x10_1,https://doi.org/10.1299/jsmermd.2014._1p1-x10_1,crossref,contact-rich manipulation tactile force sensing,0.667
Exploiting global force torque measurements for local compliance estimation in tactile arrays,2014,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2014.6943124,https://doi.org/10.1109/iros.2014.6943124,crossref,force torque tactile residual estimation robot,0.667
Application of Hall Element as Tactile Sensor Device with Sensing Function of Contact Force and Temperature,2015,IEEJ Transactions on Sensors and Micromachines,10.1541/ieejsmas.135.103,https://doi.org/10.1541/ieejsmas.135.103,crossref,contact-rich manipulation tactile force sensing,0.667
Estimation of Friction-torque to Improve Accuracy of Estimated Contact-force for a Walking Robot,2015,Journal of Ocean Engineering and Technology,10.5574/ksoe.2015.29.5.398,https://doi.org/10.5574/ksoe.2015.29.5.398,crossref,force torque tactile residual estimation robot,0.667
Tactile sensing system for robotics dexterous manipulation based on a matrix of 3-axes force sensors,2015,2015 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros.2015.7353657,https://doi.org/10.1109/iros.2015.7353657,crossref,contact-rich manipulation tactile force sensing,0.667
Real-time state estimation with whole-body multi-contact dynamics: A modified UKF approach,2016,2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2016.7803426,https://doi.org/10.1109/humanoids.2016.7803426,crossref,tactile state estimation robot contact dynamics,0.667
Robot contact task state estimation via position-based action grammars,2016,2016 IEEE-RAS 16th International Conference on Humanoid Robots (Humanoids),10.1109/humanoids.2016.7803285,https://doi.org/10.1109/humanoids.2016.7803285,crossref,tactile state estimation robot contact dynamics,0.667
Adaptive tactile control for in-hand manipulation tasks of deformable objects,2017,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-017-0046-2,https://doi.org/10.1007/s00170-017-0046-2,crossref,in-hand manipulation tactile sensing contact,0.667
In-hand recognition and manipulation of elastic objects using a servo-tactile control strategy,2017,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2017.03.002,https://doi.org/10.1016/j.rcim.2017.03.002,crossref,in-hand manipulation tactile sensing contact,0.667
Probabilistic state estimation using force sensor information in contact motion of arm robot,2017,2017 IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems (MFI),10.1109/mfi.2017.8170449,https://doi.org/10.1109/mfi.2017.8170449,crossref,tactile state estimation robot contact dynamics,0.667
Capacitive-Piezoelectric Tandem Architecture for Biomimetic Tactile Sensing in Prosthetic Hand,2018,2018 IEEE SENSORS,10.1109/icsens.2018.8589827,https://doi.org/10.1109/icsens.2018.8589827,crossref,in-hand manipulation tactile sensing contact,0.667
Contact-Aided Invariant Extended Kalman Filtering for Legged Robot State Estimation,2018,Robotics: Science and Systems XIV,10.15607/rss.2018.xiv.050,https://doi.org/10.15607/rss.2018.xiv.050,crossref,tactile state estimation robot contact dynamics,0.667
Improving Grasp Performance Using In-Hand Proximity and Contact Sensing,2018,Communications in Computer and Information Science,10.1007/978-3-319-94568-2_9,https://doi.org/10.1007/978-3-319-94568-2_9,crossref,in-hand manipulation tactile sensing contact,0.667
Legged Robot State-Estimation Through Combined Forward Kinematic and Preintegrated Contact Factors,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8460748,https://doi.org/10.1109/icra.2018.8460748,crossref,tactile state estimation robot contact dynamics,0.667
A Clamping Force Estimation Method Based on a Joint Torque Disturbance Observer Using PSO-BPNN for Cable-Driven Surgical Robot End-Effectors,2019,Sensors,10.3390/s19235291,https://doi.org/10.3390/s19235291,crossref,force torque tactile residual estimation robot,0.667
Joint Torque Estimation using Base Force-Torque Sensor to Facilitate Physical Human-Robot Interaction (pHRI),2019,2019 IEEE 15th International Conference on Automation Science and Engineering (CASE),10.1109/coase.2019.8843092,https://doi.org/10.1109/coase.2019.8843092,crossref,force torque tactile residual estimation robot,0.667
Model-free in-hand manipulation based on commanded virtual contact points,2019,2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),10.1109/etfa.2019.8869291,https://doi.org/10.1109/etfa.2019.8869291,crossref,in-hand manipulation tactile sensing contact,0.667
Multi-point Interaction Force Estimation for Robot Manipulators with Flexible Joints Using Joint Torque Sensors,2019,Lecture Notes in Computer Science,10.1007/978-3-030-27535-8_45,https://doi.org/10.1007/978-3-030-27535-8_45,crossref,force torque tactile residual estimation robot,0.667
Robust Learning of Tactile Force Estimation through Robot Interaction,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793502,https://doi.org/10.1109/icra.2019.8793502,crossref,force torque tactile residual estimation robot,0.667
Sliding–Rolling Contact and In-Hand Manipulation,2019,,10.1142/q0249,https://doi.org/10.1142/q0249,crossref,in-hand manipulation tactile sensing contact,0.667
Tactile-based Blind Grasping: Trajectory Tracking and Disturbance Rejection for In-Hand Manipulation of Unknown Objects,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814714,https://doi.org/10.23919/acc.2019.8814714,crossref,in-hand manipulation tactile sensing contact,0.667
A Novel Foot Contact Probability Estimator for Biped Robot State Estimation,2020,2020 IEEE International Conference on Mechatronics and Automation (ICMA),10.1109/icma49215.2020.9233715,https://doi.org/10.1109/icma49215.2020.9233715,crossref,tactile state estimation robot contact dynamics,0.667
Contact-aided invariant extended Kalman filtering for robot state estimation,2020,The International Journal of Robotics Research,10.1177/0278364919894385,https://doi.org/10.1177/0278364919894385,crossref,tactile state estimation robot contact dynamics,0.667
Development of Wearable Tactile Sensor Based on Galinstan Liquid Metal for Both Temperature and Contact Force Sensing,2020,2020 IEEE 16th International Conference on Automation Science and Engineering (CASE),10.1109/case48305.2020.9216840,https://doi.org/10.1109/case48305.2020.9216840,crossref,contact-rich manipulation tactile force sensing,0.667
External force estimation of fracture reduction robot based on force residual method,2020,International Journal of Advanced Robotic Systems,10.1177/1729881419897470,https://doi.org/10.1177/1729881419897470,crossref,force torque tactile residual estimation robot,0.667
Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.3010739,https://doi.org/10.1109/lra.2020.3010739,crossref,contact-rich manipulation tactile force sensing,0.667
SwingBot: Learning Physical Features from In-hand Tactile Exploration for Dynamic Swing-up Manipulation,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros45743.2020.9341006,https://doi.org/10.1109/iros45743.2020.9341006,crossref,in-hand manipulation tactile sensing contact,0.667
Variable-Impedance and Force Control for Robust Learning of Contact-rich Manipulation Tasks from User Demonstration,2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.2687,https://doi.org/10.1016/j.ifacol.2020.12.2687,crossref,contact-rich manipulation tactile force sensing,0.667
An optical contact force sensor for tactile sensing based on specklegram detection from concatenated multimode fibers,2021,Optics &amp; Laser Technology,10.1016/j.optlastec.2021.107362,https://doi.org/10.1016/j.optlastec.2021.107362,crossref,contact-rich manipulation tactile force sensing,0.667
Development of flexible tactile sensor for the envelop of curved robotic hand finger in grasping force sensing,2021,Measurement,10.1016/j.measurement.2021.109524,https://doi.org/10.1016/j.measurement.2021.109524,crossref,in-hand manipulation tactile sensing contact,0.667
Dual-Arm In-Hand Manipulation with Parallel Grippers Using Tactile Feedback,2021,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/icar53236.2021.9659348,https://doi.org/10.1109/icar53236.2021.9659348,crossref,in-hand manipulation tactile sensing contact,0.667
In-hand manipulation by a robot hand equipped with friction-variable surface and vision-based tactile sensor,2021,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2021.1p1-j01,https://doi.org/10.1299/jsmermd.2021.1p1-j01,crossref,in-hand manipulation tactile sensing contact,0.667
Liquid Metal-Based Wearable Tactile Sensor for Both Temperature and Contact Force Sensing,2021,IEEE Sensors Journal,10.1109/jsen.2020.3015949,https://doi.org/10.1109/jsen.2020.3015949,crossref,contact-rich manipulation tactile force sensing,0.667
A Wearable Tactile Sensor Array for Large Area Remote Vibration Sensing in the Hand,2022,Springer Series on Touch and Haptic Systems,10.1007/978-3-030-90839-3_5,https://doi.org/10.1007/978-3-030-90839-3_5,crossref,in-hand manipulation tactile sensing contact,0.667
An online human–robot collaborative grinding state recognition approach based on contact dynamics and LSTM,2022,Frontiers in Neurorobotics,10.3389/fnbot.2022.971205,https://doi.org/10.3389/fnbot.2022.971205,crossref,tactile state estimation robot contact dynamics,0.667
Embedded Soft Sensing in Soft Ring Actuator for Aiding with the Self-Organisation of the In-Hand Rotational Manipulation,2022,,10.36227/techrxiv.19235697.v1,https://doi.org/10.36227/techrxiv.19235697.v1,crossref,in-hand manipulation tactile sensing contact,0.667
Estimation System of Disturbance Force and Torque for Underwater Robot Based on Artificial Lateral Line,2022,Applied Sciences,10.3390/app12063060,https://doi.org/10.3390/app12063060,crossref,force torque tactile residual estimation robot,0.667
Graphical visualization of contact forces and hand movements during in-hand manipulation,2022,2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),10.1109/etfa52439.2022.9921664,https://doi.org/10.1109/etfa52439.2022.9921664,crossref,in-hand manipulation tactile sensing contact,0.667
Kirigami Design of Flexible and Conformal Tactile Sensor on Sphere‐shaped Surface for Contact Force Sensing,2022,Advanced Materials Technologies,10.1002/admt.202200993,https://doi.org/10.1002/admt.202200993,crossref,contact-rich manipulation tactile force sensing,0.667
Learning Purely Tactile In-Hand Manipulation with a Torque-Controlled Hand,2022,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812093,https://doi.org/10.1109/icra46639.2022.9812093,crossref,in-hand manipulation tactile sensing contact,0.667
Learning a State Estimator for Tactile In-Hand Manipulation,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981730,https://doi.org/10.1109/iros47612.2022.9981730,crossref,in-hand manipulation tactile sensing contact,0.667
Precise Torque-output Estimation of a Reaction-force-sensing Series Elastic Actuator for Human-robot Interaction,2022,IFAC-PapersOnLine,10.1016/j.ifacol.2022.10.549,https://doi.org/10.1016/j.ifacol.2022.10.549,crossref,force torque tactile residual estimation robot,0.667
TacRot: A Parallel-Jaw Gripper with Rotatable Tactile Sensors for In-Hand Manipulation,2022,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/smc53654.2022.9945388,https://doi.org/10.1109/smc53654.2022.9945388,crossref,in-hand manipulation tactile sensing contact,0.667
Dextrous Tactile In-Hand Manipulation Using a Modular Reinforcement Learning Architecture,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160756,https://doi.org/10.1109/icra48891.2023.10160756,crossref,in-hand manipulation tactile sensing contact,0.667
Estimator-Coupled Reinforcement Learning for Robust Purely Tactile In-Hand Manipulation,2023,2023 IEEE-RAS 22nd International Conference on Humanoid Robots (Humanoids),10.1109/humanoids57100.2023.10375194,https://doi.org/10.1109/humanoids57100.2023.10375194,crossref,in-hand manipulation tactile sensing contact,0.667
FBG Tactile Sensor Integrated on Bronchoscope for Force and Contact Position Sensing,2023,Lecture Notes in Computer Science,10.1007/978-981-99-6495-6_4,https://doi.org/10.1007/978-981-99-6495-6_4,crossref,contact-rich manipulation tactile force sensing,0.667
Force/Torque Sensor-Free Online Payload Estimation for a Pneumatically Driven Robot,2023,2023 IEEE Conference on Control Technology and Applications (CCTA),10.1109/ccta54093.2023.10252242,https://doi.org/10.1109/ccta54093.2023.10252242,crossref,force torque tactile residual estimation robot,0.667
QMCube - A Tactile Cube to Explore Hand Interaction Forces in Human Manipulation,2023,2023 IEEE International Conference on Development and Learning (ICDL),10.1109/icdl55364.2023.10364422,https://doi.org/10.1109/icdl55364.2023.10364422,crossref,in-hand manipulation tactile sensing contact,0.667
Stick Roller: A Case Study on Efficiently Learning Precise Tactile Dynamics for In-hand Manipulation,2023,,10.21203/rs.3.rs-3252500/v1,https://doi.org/10.21203/rs.3.rs-3252500/v1,crossref,in-hand manipulation tactile sensing contact,0.667
Strain Gauge Neural Network-Based Estimation as an Alternative for Force and Torque Sensor Measurements in Robot Manipulators,2023,Applied Sciences,10.3390/app131810217,https://doi.org/10.3390/app131810217,crossref,force torque tactile residual estimation robot,0.667
Tactile Identification of Object Shapes via In-Hand Manipulation with A Minimalistic Barometric Tactile Sensor Array,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160975,https://doi.org/10.1109/icra48891.2023.10160975,crossref,in-hand manipulation tactile sensing contact,0.667
Vision-based interaction force estimation for robot grip motion without tactile/force sensor,2023,Expert Systems with Applications,10.1016/j.eswa.2022.118441,https://doi.org/10.1016/j.eswa.2022.118441,crossref,force torque tactile residual estimation robot,0.667
Visual-Tactile Sensing for In-Hand Object Reconstruction,2023,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52729.2023.00850,https://doi.org/10.1109/cvpr52729.2023.00850,crossref,in-hand manipulation tactile sensing contact,0.667
Contact Force Estimation Using Uncertain Torque Model and Friction Models for Robot Manipulator,2024,IEEE Transactions on Industrial Electronics,10.1109/tie.2024.3352145,https://doi.org/10.1109/tie.2024.3352145,crossref,force torque tactile residual estimation robot,0.667
Enhancing Contact-Rich Manipulation Efficiency: Leveraging Human-Assisted Reinforcement Learning with Force Overlay Techniques,2024,,10.2139/ssrn.5055618,https://doi.org/10.2139/ssrn.5055618,crossref,contact-rich manipulation tactile force sensing,0.667
Estimation of Human Compliance Parameters during Robot Kinesthetic Teaching by Compensation of the Dynamics of the Force-Torque Sensor,2024,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),10.1109/case59546.2024.10711807,https://doi.org/10.1109/case59546.2024.10711807,crossref,force torque tactile residual estimation robot,0.667
In-Hand Singulation and Scooping Manipulation with a 5 DOF Tactile Gripper,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801940,https://doi.org/10.1109/iros58592.2024.10801940,crossref,in-hand manipulation tactile sensing contact,0.667
Learning Time-Optimal and Speed-Adjustable Tactile In-Hand Manipulation,2024,2024 IEEE-RAS 23rd International Conference on Humanoid Robots (Humanoids),10.1109/humanoids58906.2024.10769596,https://doi.org/10.1109/humanoids58906.2024.10769596,crossref,in-hand manipulation tactile sensing contact,0.667
Learning a Shape-Conditioned Agent for Purely Tactile In-Hand Manipulation of Various Objects,2024,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10802864,https://doi.org/10.1109/iros58592.2024.10802864,crossref,in-hand manipulation tactile sensing contact,0.667
TacFR-Gripper: A Reconfigurable Fin-Ray-Based Gripper with Tactile Skin for In-Hand Manipulation,2024,Actuators,10.3390/act13120521,https://doi.org/10.3390/act13120521,crossref,in-hand manipulation tactile sensing contact,0.667
Walking State Estimation for Biped Robot Using Foot Contact Information,2024,Lecture Notes in Networks and Systems,10.1007/978-3-031-44851-5_40,https://doi.org/10.1007/978-3-031-44851-5_40,crossref,tactile state estimation robot contact dynamics,0.667
Acute Loss of Tactile Input Leads to General Compensatory Changes in Eye–Hand Coordination during Object Manipulation,2025,eneuro,10.1523/eneuro.0487-23.2025,https://doi.org/10.1523/eneuro.0487-23.2025,crossref,in-hand manipulation tactile sensing contact,0.667
Adaptive Contact-Rich Manipulation Through Few-Shot Imitation Learning With Force-Torque Feedback and Pre-Trained Object Representations,2025,IEEE Robotics and Automation Letters,10.1109/lra.2024.3497713,https://doi.org/10.1109/lra.2024.3497713,crossref,contact-rich manipulation tactile force sensing,0.667
Development of a Vacuum Suction Microcup Array Featuring Visionbased Tactile Sensing for Robotic Manipulation - Characterization of a Tri-Axial Force Distribution Sensor -,2025,"2025 23rd International Conference on Solid-State Sensors, Actuators and Microsystems (Transducers)",10.1109/transducers61432.2025.11111340,https://doi.org/10.1109/transducers61432.2025.11111340,crossref,contact-rich manipulation tactile force sensing,0.667
FORGE: Force-Guided Exploration for Robust Contact-Rich Manipulation Under Uncertainty,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3551637,https://doi.org/10.1109/lra.2025.3551637,crossref,contact-rich manipulation tactile force sensing,0.667
FoAR: Force-Aware Reactive Policy for Contact-Rich Robotic Manipulation,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3560871,https://doi.org/10.1109/lra.2025.3560871,crossref,contact-rich manipulation tactile force sensing,0.667
ForceMimic: Force-Centric Imitation Learning with Force-Motion Capture System for Contact-Rich Manipulation,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra55743.2025.11128061,https://doi.org/10.1109/icra55743.2025.11128061,crossref,contact-rich manipulation tactile force sensing,0.667
Human-assisted reinforcement learning and dynamic force patterns in contact-rich manipulation for robotic disassembly,2025,Industrial Robot: the international journal of robotics research and application,10.1108/ir-03-2025-0080,https://doi.org/10.1108/ir-03-2025-0080,crossref,contact-rich manipulation tactile force sensing,0.667
Multicore Fiber Fabry-Perot Interferometers Probe for 3-Dimensional Contact-Force (Tactile) Sensing,2025,Journal of Lightwave Technology,10.1109/jlt.2024.3521227,https://doi.org/10.1109/jlt.2024.3521227,crossref,contact-rich manipulation tactile force sensing,0.667
Online object localization in a robotic hand by tactile sensing,2025,2025 IEEE/SICE International Symposium on System Integration (SII),10.1109/sii59315.2025.10871116,https://doi.org/10.1109/sii59315.2025.10871116,crossref,in-hand manipulation tactile sensing contact,0.667
Tactile-based force estimation for interaction control with robot fingers,2025,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros60139.2025.11246923,https://doi.org/10.1109/iros60139.2025.11246923,crossref,force torque tactile residual estimation robot,0.667
VTFAN: A Novel Visual-Tactile Fusion Network for In-hand Manipulation Based on Adaptive Nesterov Momentum Algorithm,2025,"2025 25th International Conference on Control, Automation and Systems (ICCAS)",10.23919/iccas66577.2025.11301268,https://doi.org/10.23919/iccas66577.2025.11301268,crossref,in-hand manipulation tactile sensing contact,0.667
ViTaSCOPE: Visuo-tactile Implicit Representation for In-hand Pose and Extrinsic Contact Estimation,2025,Robotics: Science and Systems XXI,10.15607/rss.2025.xxi.054,https://doi.org/10.15607/rss.2025.xxi.054,crossref,in-hand manipulation tactile sensing contact,0.667
